"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
31104132206,3132206,330,"Wright",3,"Queensland",2.4982
31104132207,3132207,330,"Wright",3,"Queensland",2.693
31104132208,3132208,330,"Wright",3,"Queensland",4.4251
31104132209,3132209,330,"Wright",3,"Queensland",1.8126
31104132210,3132210,330,"Wright",3,"Queensland",6.6123
31104132211,3132211,330,"Wright",3,"Queensland",1.6121
31104132212,3132212,330,"Wright",3,"Queensland",13.0852
31104132213,3132213,312,"Forde",3,"Queensland",2.774
31104132214,3132214,312,"Forde",3,"Queensland",6.6476
31104132215,3132215,312,"Forde",3,"Queensland",5.29
31104132216,3132216,330,"Wright",3,"Queensland",2.9907
31104132217,3132217,312,"Forde",3,"Queensland",1.6556
31104132218,3132218,312,"Forde",3,"Queensland",1.8418
31105132301,3132301,312,"Forde",3,"Queensland",0.1776
31105132302,3132302,312,"Forde",3,"Queensland",0.3009
31105132303,3132303,312,"Forde",3,"Queensland",0.4304
31105132304,3132304,312,"Forde",3,"Queensland",0.1668
31105132305,3132305,312,"Forde",3,"Queensland",0.131
31105132306,3132306,312,"Forde",3,"Queensland",0.251
31105132307,3132307,312,"Forde",3,"Queensland",0.2885
31105132308,3132308,312,"Forde",3,"Queensland",0.273
31105132309,3132309,312,"Forde",3,"Queensland",0.1052
31105132310,3132310,312,"Forde",3,"Queensland",0.6626
31105132311,3132311,312,"Forde",3,"Queensland",0.6179
31105132312,3132312,312,"Forde",3,"Queensland",0.3394
31105132313,3132313,312,"Forde",3,"Queensland",0.3976
31105132314,3132314,312,"Forde",3,"Queensland",0.0831
31105132315,3132315,312,"Forde",3,"Queensland",0.2818
31105132316,3132316,312,"Forde",3,"Queensland",0.3636
31105132317,3132317,312,"Forde",3,"Queensland",1.9863
31105132318,3132318,312,"Forde",3,"Queensland",0.3346
31105132319,3132319,312,"Forde",3,"Queensland",0.2408
31105132320,3132320,312,"Forde",3,"Queensland",1.159
31105132321,3132321,312,"Forde",3,"Queensland",4.0385
